날짜,도매지역,총거래물량,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2),일 최심신적설(cm)
2020-12-18,광주,908152.0,0.4493668831168832,-4.035616432178933,5.351461489898989,1.2620864448051947,0.187362012987013,5.52213924963925,2.347715097402597,58.46297573953824,4.5811674783549785,4.17245441017316,0.0742045454545454
2020-12-19,광주,619108.0,-2.3076104797979795,-6.129352002164502,1.882777326839827,0.0783360389610389,0.0005681818181818,5.9793303571428575,2.814382665945166,40.773357233044734,8.325236742424241,6.303448502886003,0.0005681818181818
2020-12-20,광주,1332418.0,-1.312515331890332,-5.822022907647908,3.912029220779221,0.1673944805194805,0.0445008116883116,4.690666937229437,1.951977362914863,50.86299648268398,7.479825036075036,5.504072104978355,0.0193181818181818
2020-12-21,광주,2045728.0,0.2796022727272728,-4.839413780663781,5.869618506493507,0.1527739448051948,0.0251785714285714,4.046063311688312,1.620997023809524,62.20260281385281,6.065534812409813,4.746419417388167,0.0
2020-12-22,광주,1044944.0,2.1283829365079363,-2.7329455266955267,7.8904897186147185,0.2137723214285714,0.025,4.354371843434343,1.5055064033189034,68.56647997835498,6.236899801587302,4.807308216089466,0.009375
2020-12-23,광주,1368528.0,3.8606994047619048,-1.6677376443001444,9.1938226010101,0.07140625,0.0,3.861241883116883,1.5086431277056276,72.6911084054834,3.4706128246753245,3.578963564213564,0.0
2020-12-24,광주,1430844.0,4.790150162337662,0.5555988455988455,9.706134108946609,0.0542613636363636,0.0098863636363636,6.369530573593074,2.717681727994228,57.92666937229437,7.072954094516595,5.216796626984127,0.0017045454545454
2020-12-25,광주,857188.0,1.0716801948051948,-2.68537518037518,5.386553481240981,0.4229448051948052,0.0449512987012987,5.615940656565656,2.370583964646465,55.13908414502165,7.854054834054834,5.668645247113997,0.0058441558441558
2020-12-26,광주,669796.0,2.396308170995671,-2.7930835137085137,8.592830988455988,0.0921874999999999,0.0,3.54608630952381,1.3341544913419914,65.29490665584416,6.421268488455988,4.99181976010101,0.0
2020-12-27,광주,697582.0,4.457074765512266,0.5640079365079366,8.847477904040405,2.55222582972583,3.7205357142857145,3.401795183982684,1.3058973665223663,75.38155708874459,2.505728715728716,3.032083243145743,0.0
2020-12-28,광주,725368.0,5.527216810966811,1.2889664502164502,12.43320165945166,0.2159375,0.1928125,3.011493957431457,1.147869769119769,79.22648719336219,7.11750992063492,5.267936417748918,0.0
2020-12-29,광주,335936.0,2.94604797979798,-1.7661534992784993,9.114134650072147,3.5358885732323238,2.223824855699856,5.9314312770562765,2.255883838383838,80.15400974025974,1.8277047258297257,2.4364142766955266,0.2680357142857142
2020-12-30,광주,595568.0,-6.375524891774892,-9.165546536796535,-1.0409785353535357,4.140518082611832,1.4116526875901876,7.471358225108225,4.596960227272727,58.76825847763348,6.123963293650793,4.853003246753247,1.448291396103896
2020-12-31,광주,292704.0,-5.709370941558442,-10.682010732323231,-1.0239294733044733,1.8691440746753245,0.3569561688311688,5.728658008658009,2.8122641594516598,59.87010551948052,6.754078733766233,5.483476190476191,0.3753287337662337
2021-01-01,광주,169496.0,-2.4450924422799423,-7.75375496031746,2.123052398989899,1.6534293831168831,0.2839650974025974,4.438486652236652,1.7740273268398268,68.72979211760462,5.217093704906205,4.6037883297258295,0.3039285714285714
2021-01-02,광주,46288.0,-1.968392406204906,-5.575206078643578,1.872753878066378,0.8397163149350649,0.1082792207792207,5.501686507936508,2.352441378066378,53.74541576479076,7.99676452020202,5.907088158369408,0.2037337662337662
